Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs,Formats
Syclar,https://www.smogon.com/dex/sm/pokemon/syclar/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Tactite,https://www.smogon.com/dex/sm/pokemon/tactite/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Stratagem,https://www.smogon.com/dex/sm/pokemon/stratagem/,Stealth Rock,Paleo Wave,Dazzling Gleam,Earth Power/Fire Blast,Fairium Z,Levitate,Timid,4 HP/252 SpA/252 Spe/,CAP/
Privatyke,https://www.smogon.com/dex/sm/pokemon/privatyke/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Arghonaut,https://www.smogon.com/dex/sm/pokemon/arghonaut/,Spikes,Knock Off,Toxic/Earthquake/Circle Throw,Recover,Leftovers,Unaware,Careful,248 HP/164 Def/96 SpD/,CAP/
Kitsunoh,https://www.smogon.com/dex/sm/pokemon/kitsunoh/,Shadow Strike,U-turn,Meteor Mash,Earthquake/Toxic/Trick,Choice Scarf,Iron Fist,Jolly,220 Atk/36 SpD/252 Spe/,CAP/
Cyclohm,https://www.smogon.com/dex/sm/pokemon/cyclohm/,Volt Switch/Discharge,Toxic/Flamethrower,Toxic/Ice Beam,Slack Off,Rocky Helmet,Static,Bold,252 HP/240 Def/16 Spe/,CAP/
Colossoil,https://www.smogon.com/dex/sm/pokemon/colossoil/,Earthquake,Sucker Punch,Knock Off,Facade,Flame Orb,Guts,Adamant,252 Atk/4 Def/252 Spe/,CAP/
Krilowatt,https://www.smogon.com/dex/sm/pokemon/krilowatt/,Volt Switch,Ice Beam,Thunderbolt,Earth Power/Surf,Life Orb,Magic Guard,Timid,252 SpA/4 SpD/252 Spe/,CAP/
Voodoll,https://www.smogon.com/dex/sm/pokemon/voodoll/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Voodoom,https://www.smogon.com/dex/sm/pokemon/voodoom/,Nasty Plot,Focus Blast,Dark Pulse,Flash Cannon,Life Orb,Lightning Rod,Timid,4 HP/252 SpA/252 Spe/,CAP/
Syclant,https://www.smogon.com/dex/sm/pokemon/syclant/,Ice Beam,Earth Power/Earthquake,U-turn,Spikes,Focus Sash,Mountaineer,Naive,4 Atk/252 SpA/252 Spe/,CAP/
Scratchet,https://www.smogon.com/dex/sm/pokemon/scratchet/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Tomohawk,https://www.smogon.com/dex/sm/pokemon/tomohawk/,Haze,Roost,Stealth Rock/Rapid Spin,Air Slash/Hurricane,Icium Z,Prankster,Bold,0 Atk/,CAP/
Necturine,https://www.smogon.com/dex/sm/pokemon/necturine/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Necturna,https://www.smogon.com/dex/sm/pokemon/necturna/,Shell Smash,Power Whip,Shadow Claw,Shadow Sneak,Ghostium Z,Forewarn,Adamant,52 HP/252 Atk/204 Spe/,CAP/
Mollux,https://www.smogon.com/dex/sm/pokemon/mollux/,Sludge Bomb,Thunder/Lava Plume,Rapid Spin/Rain Dance,Recover,Black Sludge,Dry Skin,Calm,252 HP/4 SpA/252 SpD/,CAP/
Cupra,https://www.smogon.com/dex/sm/pokemon/cupra/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Argalis,https://www.smogon.com/dex/sm/pokemon/argalis/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Aurumoth,https://www.smogon.com/dex/sm/pokemon/aurumoth/,Tail Glow,Psychic,Focus Blast,Thunder,Electrium Z,No Guard,Timid,252 SpA/4 SpD/252 Spe/,CAP/
Brattler,https://www.smogon.com/dex/sm/pokemon/brattler/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Malaconda,https://www.smogon.com/dex/sm/pokemon/malaconda/,Glare,Knock Off,Sucker Punch,Synthesis,Black Glasses,Infiltrator,Impish,252 HP/4 Atk/252 Def/,CAP/
Revenankh,https://www.smogon.com/dex/sm/pokemon/revenankh/,Drain Punch,Moonlight,Will-O-Wisp/Glare,Will-O-Wisp/Toxic,Leftovers,Triage,Careful,252 HP/188 Def/68 SpD/,CAP/
Cawdet,https://www.smogon.com/dex/sm/pokemon/cawdet/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Cawmodore,https://www.smogon.com/dex/sm/pokemon/cawmodore/,Belly Drum,Acrobatics,Drain Punch,Bullet Punch,Sitrus Berry,Volt Absorb,Jolly,4 HP/252 Atk/252 Spe/,CAP/
Volkritter,https://www.smogon.com/dex/sm/pokemon/volkritter/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Volkraken,https://www.smogon.com/dex/sm/pokemon/volkraken/,Flamethrower,Hydro Pump,Fire Blast,U-turn,Choice Specs,Analytic,Modest,4 HP/252 SpA/252 Spe/,CAP/
Snugglow,https://www.smogon.com/dex/sm/pokemon/snugglow/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Plasmanta,https://www.smogon.com/dex/sm/pokemon/plasmanta/,Substitute,Thunderbolt,Sludge Bomb,Hidden Power/Hidden Power,Leftovers,Storm Drain,Timid,48 HP/208 SpA/252 Spe/,CAP/
Floatoy,https://www.smogon.com/dex/sm/pokemon/floatoy/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Caimanoe,https://www.smogon.com/dex/sm/pokemon/caimanoe/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Naviathan,https://www.smogon.com/dex/sm/pokemon/naviathan/,Dragon Dance,Waterfall,Facade,Icicle Crash,Flame Orb,Guts,Adamant,252 Atk/4 SpD/252 Spe/,CAP/
Crucibelle,https://www.smogon.com/dex/sm/pokemon/crucibelle/,Stone Edge,Gunk Shot,U-turn,Stealth Rock,Crucibellite,Regenerator,Jolly,4 HP/252 Atk/252 Spe/,CAP/
Embirch,https://www.smogon.com/dex/sm/pokemon/embirch/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Pluffle,https://www.smogon.com/dex/sm/pokemon/pluffle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Kerfluffle,https://www.smogon.com/dex/sm/pokemon/kerfluffle/,Moonblast,Focus Blast,Parting Shot,Taunt,Fightinium Z,Natural Cure,Timid,252 SpA/4 SpD/252 Spe/,CAP/
Pajantom,https://www.smogon.com/dex/sm/pokemon/pajantom/,Spirit Shackle,Toxic,Protect,Heal Block,Leftovers,Comatose,Careful,252 HP/252 SpD/4 Spe/,CAP/
Mumbao,https://www.smogon.com/dex/sm/pokemon/mumbao/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Jumbao,https://www.smogon.com/dex/sm/pokemon/jumbao/,Moonblast,Flame Burst,Hidden Power,Shore Up,Fairium Z,Trace,Timid,252 SpA/4 SpD/252 Spe/,CAP/
Fawnifer,https://www.smogon.com/dex/sm/pokemon/fawnifer/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Electrelk,https://www.smogon.com/dex/sm/pokemon/electrelk/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Caribolt,https://www.smogon.com/dex/sm/pokemon/caribolt/,Swords Dance,Return,Quick Attack,Power Whip,Magnet,Galvanize,Jolly,252 Atk/4 Def/252 Spe/,CAP/
Smogecko,https://www.smogon.com/dex/sm/pokemon/smogecko/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Smoguana,https://www.smogon.com/dex/sm/pokemon/smoguana/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Flarelm,https://www.smogon.com/dex/sm/pokemon/flarelm/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Smokomodo,https://www.smogon.com/dex/sm/pokemon/smokomodo/,Flare Blitz,Earthquake,Toxic,Morning Sun,Iapapa Berry,Blaze,Jolly,4 HP/252 Atk/252 Spe/,CAP/
Swirlpool,https://www.smogon.com/dex/sm/pokemon/swirlpool/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Coribalis,https://www.smogon.com/dex/sm/pokemon/coribalis/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Snaelstrom,https://www.smogon.com/dex/sm/pokemon/snaelstrom/,Stealth Rock,Scald,Spiky Shield,Toxic,Toxic Orb,Poison Heal,Bold,248 HP/252 Def/8 SpD/,CAP/
Justyke,https://www.smogon.com/dex/sm/pokemon/justyke/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Equilibra,https://www.smogon.com/dex/sm/pokemon/equilibra/,Doom Desire,Earth Power,Rapid Spin,Flash Cannon/Protect/Pain Split,Wiki Berry,Levitate,Modest,252 HP/60 Def/68 SpA/84 SpD/44 Spe/,CAP/
Pyroak,https://www.smogon.com/dex/sm/pokemon/pyroak/,Lava Plume,Earth Power,Stealth Rock/Toxic,Synthesis,Leftovers,Battle Armor,Bold,0 Atk/,CAP/
Nohface,https://www.smogon.com/dex/sm/pokemon/nohface/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Monohm,https://www.smogon.com/dex/sm/pokemon/monohm/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Duohm,https://www.smogon.com/dex/sm/pokemon/duohm/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Dorsoil,https://www.smogon.com/dex/sm/pokemon/dorsoil/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Protowatt,https://www.smogon.com/dex/sm/pokemon/protowatt/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Breezi,https://www.smogon.com/dex/sm/pokemon/breezi/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Fidgit,https://www.smogon.com/dex/sm/pokemon/fidgit/,Trick Room,Stealth Rock,Earth Power,Rapid Spin,Iapapa Berry,Persistent,Calm,252 HP/80 Def/176 SpD/,CAP/
Rebble,https://www.smogon.com/dex/sm/pokemon/rebble/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Bulbasaur,https://www.smogon.com/dex/sm/pokemon/bulbasaur/,Celebrate,Sludge Bomb,Giga Drain,Sleep Powder/Hidden Power,Normalium Z,Chlorophyll,Modest,44 Def/160 SpA/240 Spe/,LC/
Caterpie,https://www.smogon.com/dex/sm/pokemon/caterpie/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Voltorb,https://www.smogon.com/dex/sm/pokemon/voltorb/,Reflect,Light Screen,Explosion/Volt Switch,Volt Switch/Taunt,Light Clay,Aftermath,Jolly,196 HP/36 Def/76 SpD/196 Spe/,LC/
Electrode,https://www.smogon.com/dex/sm/pokemon/electrode/,Volt Switch,Thunderbolt,Hidden Power,Signal Beam,Life Orb,Soundproof,Timid,252 SpA/4 SpD/252 Spe/,ZU/PU/LGPE OU/
Exeggcute,https://www.smogon.com/dex/sm/pokemon/exeggcute/,Substitute,Leech Seed/Sleep Powder,Giga Drain,Hidden Power/Hidden Power/Psychic,Oran Berry,Harvest,Timid,36 HP/200 Def/40 SpA/80 SpD/120 Spe/,LC/
Exeggutor,https://www.smogon.com/dex/sm/pokemon/exeggutor/,Leaf Storm,Psyshock/Psychic,Hidden Power,Sleep Powder/Giga Drain,Choice Specs,Chlorophyll,Timid,252 SpA/4 SpD/252 Spe/,PU/1v1/LGPE OU/
Exeggutor-Alola,https://www.smogon.com/dex/sm/pokemon/exeggutor-alola/,Draco Meteor,Leaf Storm,Flamethrower,Giga Drain,Choice Specs,Frisk,Modest,252 SpA/4 SpD/252 Spe/,NU/LGPE OU/
Cubone,https://www.smogon.com/dex/sm/pokemon/cubone/,Bonemerang,Knock Off,Rock Slide,Fire Punch,Thick Club,Battle Armor,Jolly,196 Atk/76 Def/236 Spe/,LC/
Marowak,https://www.smogon.com/dex/sm/pokemon/marowak/,Bonemerang,Double-Edge,Knock Off,Fire Punch/Swords Dance,Thick Club,Rock Head,Brave,0 Spe/,ZU/PU/
Marowak-Alola,https://www.smogon.com/dex/sm/pokemon/marowak-alola/,Flare Blitz,Shadow Bone,Swords Dance,Earthquake/Low Kick,Thick Club,Rock Head,Adamant,212 HP/252 Atk/44 Spe/,RU/OU/UU/Monotype/VGC18/VGC17/1v1/
Marowak-Alola-Totem,https://www.smogon.com/dex/sm/pokemon/marowak-alola-totem/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Hitmonlee,https://www.smogon.com/dex/sm/pokemon/hitmonlee/,Curse,Close Combat,Knock Off,Earthquake/Stone Edge,White Herb,Unburden,Adamant,252 Atk/4 Def/252 Spe/,NU/LGPE OU/
Hitmonchan,https://www.smogon.com/dex/sm/pokemon/hitmonchan/,Drain Punch,Mach Punch,Stone Edge/Thunder Punch,Rapid Spin,Assault Vest,Iron Fist,Adamant,156 HP/224 Atk/128 Spe/,PU/
Lickitung,https://www.smogon.com/dex/sm/pokemon/lickitung/,Wish,Protect,Heal Bell/Body Slam,Heal Bell/Knock Off,Eviolite,Oblivious,Impish,196 HP/76 Def/236 SpD/,LC/
Koffing,https://www.smogon.com/dex/sm/pokemon/koffing/,Will-O-Wisp,Pain Split,Sludge Bomb,Toxic Spikes/Clear Smog/Fire Blast,Eviolite,Levitate,Bold,36 HP/236 Def/236 SpD/,LC/
Metapod,https://www.smogon.com/dex/sm/pokemon/metapod/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Weezing,https://www.smogon.com/dex/sm/pokemon/weezing/,Sludge Bomb,Will-O-Wisp,Pain Split,Taunt/Toxic Spikes,Black Sludge,Levitate,Bold,252 HP/152 Def/88 SpD/16 Spe/,NU/
Rhyhorn,https://www.smogon.com/dex/sm/pokemon/rhyhorn/,Stealth Rock,Rock Blast,Earthquake,Poison Jab/Fire Fang/Megahorn,Eviolite,Rock Head,Careful,36 HP/156 Atk/156 Def/116 SpD/,LC/
Rhydon,https://www.smogon.com/dex/sm/pokemon/rhydon/,Stealth Rock,Earthquake,Rock Blast/Stone Edge,Swords Dance,Eviolite,Lightning Rod,Adamant,4 HP/252 Atk/252 Spe/,NU/LGPE OU/
