Name,Type1,Type2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Abilities,Weight (kg),Height (m)
bulbasaur,Grass,Poison,45,49,49,65,65,45,"Overgrow, Chlorophyll",6.9,0.7
ivysaur,Grass,Poison,60,62,63,80,80,60,"Overgrow, Chlorophyll",13,1
venusaur,Grass,Poison,80,82,83,100,100,80,"Overgrow, Chlorophyll",100,2
venusaurmega,Grass,Poison,80,100,123,122,120,80,Thick Fat,155.5,2.4
venusaurgmax,Grass,Poison,80,82,83,100,100,80,"Overgrow, Chlorophyll",0,24
charmander,Fire,,39,52,43,60,50,65,"Blaze, Solar Power",8.5,0.6
charmeleon,Fire,,58,64,58,80,65,80,"Blaze, Solar Power",19,1.1
charizard,Fire,Flying,78,84,78,109,85,100,"Blaze, Solar Power",90.5,1.7
charizardmegax,Fire,Dragon,78,130,111,130,85,100,Tough Claws,110.5,1.7
charizardmegay,Fire,Flying,78,104,78,159,115,100,Drought,100.5,1.7
charizardgmax,Fire,Flying,78,84,78,109,85,100,"Blaze, Solar Power",0,28
squirtle,Water,,44,48,65,50,64,43,"Torrent, Rain Dish",9,0.5
wartortle,Water,,59,63,80,65,80,58,"Torrent, Rain Dish",22.5,1
blastoise,Water,,79,83,100,85,105,78,"Torrent, Rain Dish",85.5,1.6
blastoisemega,Water,,79,103,120,135,115,78,Mega Launcher,101.1,1.6
blastoisegmax,Water,,79,83,100,85,105,78,"Torrent, Rain Dish",0,25
caterpie,Bug,,45,30,35,20,20,45,"Shield Dust, Run Away",2.9,0.3
metapod,Bug,,50,20,55,25,25,30,Shed Skin,9.9,0.7
butterfree,Bug,Flying,60,45,50,90,80,70,"Compound Eyes, Tinted Lens",32,1.1
butterfreegmax,Bug,Flying,60,45,50,90,80,70,"Compound Eyes, Tinted Lens",0,17
weedle,Bug,Poison,40,35,30,20,20,50,"Shield Dust, Run Away",3.2,0.3
kakuna,Bug,Poison,45,25,50,25,25,35,Shed Skin,10,0.6
beedrill,Bug,Poison,65,90,40,45,80,75,"Swarm, Sniper",29.5,1
